customer_id,first_name,last_name,gender,dob,location,total_orders
1,Taylor,Silva,O,1978-10-21,Debbieview,26
2,Ruben,Sharp,O,1986-05-20,Port Brandon,26
3,Tasha,Smith,F,1982-06-10,Byrdmouth,46
4,Hector,Meyer,F,1991-08-17,Elliottmouth,48
5,Bradley,Graham,O,1985-03-15,Obrienland,29
6,Michael,Barker,F,1981-05-12,Henryport,1
7,Shelby,Mendoza,M,2000-04-17,Newmanton,6
8,Courtney,Harris,M,1989-02-09,South Victoriaton,30
9,Edward,Briggs,M,2004-03-11,Patriciaburgh,16
10,Brenda,Morrow,F,1972-07-06,New James,17
11,Karen,Booker,F,1984-09-30,Rebeccahaven,2
12,Michelle,Ramirez,F,1968-08-30,East Josephburgh,16
13,Robert,Allen,M,1971-06-03,Edwardsborough,19
14,Kerri,Smith,O,1967-10-27,East Donna,38
15,Scott,Davis,F,1978-04-13,Flowersshire,10
16,Ashley,Sanchez,F,1970-03-08,North Nicholas,37
17,Sonia,Thomas,O,2000-01-04,Johnfort,48
18,Jennifer,Mccullough,O,1975-04-17,Stephenberg,13
19,Morgan,Cobb,O,1990-12-25,Lisaborough,8
20,Jackson,Fisher,O,1985-12-23,Lake Thomas,5
21,Kevin,Miller,F,1968-12-27,Lisaburgh,45
22,Susan,West,F,1995-02-23,South Beverly,5
23,Kelly,Padilla,O,1999-05-05,Websterfort,45
24,Seth,Arnold,O,1995-06-03,Smithville,15
25,Ashley,Richardson,M,1969-11-03,Lake Brendaside,4
26,Courtney,Rodriguez,M,1967-11-26,Amandamouth,38
27,Debra,Boyd,F,1984-09-04,Brianborough,14
28,Glenn,Watkins,M,1976-09-24,Smithchester,6
29,Zachary,Collier,F,1985-08-15,Vargasland,46
30,Joseph,Bryant,O,1984-06-24,Johnland,6
31,Leonard,Alvarado,O,1983-10-10,Port Randy,4
32,Victoria,Hill,M,2003-05-20,West James,27
33,Sean,Munoz,O,2002-10-28,Allisonport,5
34,Richard,Dominguez,O,1978-08-07,North Jennaberg,14
35,Patricia,Anderson,F,1984-05-27,South Brianport,31
36,Kristi,Price,F,2002-07-19,Matamouth,23
37,Mary,Davis,O,1979-05-04,Joshuafort,3
38,Zachary,Logan,M,1970-04-16,East Gregory,23
39,Melissa,Hunt,F,1972-06-21,Michelleton,37
40,Patrick,Taylor,M,1967-01-07,North Sheri,26
41,Eric,Campos,O,1989-11-27,South Sherryfurt,5
42,Jason,Moore,F,1990-10-09,Jamesbury,20
43,Nathan,Horne,F,1968-08-06,South Donnaborough,11
44,Betty,Evans,M,2004-12-03,Tylerburgh,35
45,Javier,Jacobs,M,1970-08-15,North Seanberg,41
46,Dana,Hansen,M,1996-08-22,Kennethshire,25
47,Sharon,Morgan,F,1966-02-12,West Ryan,29
48,David,Little,M,1992-03-25,East Charles,15
49,Jill,Santiago,O,2002-03-26,Smithville,44
50,Daniel,Gutierrez,M,2001-04-14,Collinsburgh,41
51,Joel,Sanchez,F,1989-07-12,Rachelton,36
52,Brittany,Bradford,F,1981-03-15,West Christinetown,26
53,Katherine,Huff,O,1973-07-10,South Jennastad,49
54,Jane,Estrada,F,1985-04-06,East Paulmouth,44
55,Christine,Spencer,F,1988-01-31,Hartmanburgh,6
56,Stephanie,Martinez,F,2003-02-26,New Abigail,11
57,Ryan,Martin,O,1990-05-12,Brownport,8
58,David,Curtis,F,2007-10-03,Jonesfort,35
59,Monica,Valdez,M,1976-05-13,Lake Kristin,43
60,Ryan,Cobb,M,1965-11-25,Garrettberg,38
61,Michael,Novak,F,1968-02-18,Port Jamie,37
62,Kevin,Mcknight,O,1983-03-23,South Joseph,7
63,Joanne,Ewing,M,1986-07-19,North Frederick,31
64,Stacy,Whitehead,O,1969-04-15,Nicholasport,43
65,Gregory,Hawkins,F,2002-03-18,Garyburgh,9
66,Kelly,Gomez,O,2005-09-17,West Samantha,28
67,Tonya,Mcclain,F,1984-07-13,Jonathanmouth,41
68,Stephanie,Lopez,F,1987-03-25,Port Frank,6
69,Pam,Jackson,M,1979-01-19,North Katherineview,11
70,Alison,Blevins,O,1977-07-12,Lake Meredithland,22
71,Walter,Cabrera,O,1982-11-07,Justinberg,12
72,Heather,Mcdonald,M,1971-09-20,Davidborough,39
73,Jacob,Brown,O,2005-03-26,Morrischester,40
74,Darlene,Robertson,M,1966-04-28,Hernandezshire,40
75,Julia,Aguirre,M,1981-01-24,Mooreside,22
76,Shawn,Cervantes,M,2007-09-07,Port Stacey,44
77,Annette,Mathis,F,1984-03-11,Cruzborough,35
78,Jason,Jones,O,1983-09-12,Thompsonstad,37
79,Margaret,Kelly,O,2005-08-17,North Sheriville,25
80,Anna,Henry,M,1975-10-01,Tamarashire,16
81,Jeffrey,Ramos,O,1978-06-24,Wellsfurt,35
82,Derrick,Hart,F,1972-02-08,West Ryan,34
83,Nicole,Jones,O,1985-08-08,North Troyfort,17
84,Maria,Ryan,O,2000-08-05,East Amandachester,18
85,Juan,Lindsey,F,1993-07-23,Diaztown,33
86,Matthew,Mclean,F,2003-11-06,Port Andrew,2
87,Jonathan,Watts,F,1982-10-13,Brianborough,49
88,Sarah,Johnson,M,1983-11-23,North Tomstad,7
89,Zachary,Williams,O,2007-11-17,Lake Joshua,4
90,Joseph,Cline,F,1992-05-28,Lake Kevinton,31
91,Roberto,Cruz,F,1997-03-09,Smithchester,34
92,Sarah,Pena,F,1998-11-03,Katrinaville,9
93,Ashley,Burns,M,2003-10-24,South Sheilaberg,27
94,Rebecca,Brady,M,1981-12-17,Cookborough,29
95,Charles,Evans,F,1990-06-13,New William,30
96,Amy,Smith,M,1997-03-11,Miguelstad,3
97,Ashley,Russell,O,1998-05-22,Lake Jay,17
98,Joanna,Carter,M,1981-08-30,Rubiohaven,20
99,Kimberly,Montgomery,M,2001-07-30,Deborahstad,24
100,Veronica,Smith,F,1968-12-20,New James,22
101,April,Arnold,F,2001-09-03,Port Karenbury,19
102,Jack,Dunn,F,1981-11-30,Elizabethfort,19
103,Jessica,Wood,O,2003-03-28,Lake Seanside,4
104,Jim,Smith,F,1992-05-26,Terriland,39
105,Erin,Johnson,O,1997-10-02,Lake Jose,45
106,Thomas,Palmer,F,2002-08-17,Scottchester,6
107,Kathleen,Barnett,F,1999-07-31,Matthewville,15
108,Lisa,Hardy,O,1966-12-04,West James,43
109,Matthew,Carr,M,1983-03-22,Lake Jacob,4
110,Clifford,Kline,F,1990-10-11,Rogerton,19
111,Crystal,Oconnor,F,1997-07-10,Wilsonstad,46
112,Larry,Robinson,M,2001-04-03,Michaelton,18
113,Anthony,Sanchez,F,1988-03-17,West Brittanyburgh,38
114,Margaret,Lucero,F,1978-05-03,Jamesstad,35
115,Rebecca,Rodriguez,M,1995-05-20,North Ambermouth,45
116,Linda,Sellers,F,1973-03-24,West Caitlinview,7
117,Thomas,Campbell,M,1996-01-18,West Jasonberg,8
118,Jesse,Watson,F,1981-09-08,New Daniel,30
119,Kenneth,Chang,F,2001-12-24,New Michael,35
120,Stephanie,Miller,O,1997-10-14,Cohenfort,46
121,Jodi,Rice,M,1999-02-11,Emilystad,26
122,Craig,Sosa,M,1972-08-23,Lake Maria,15
123,Tyler,Garcia,O,2005-11-11,Nancymouth,8
124,Pamela,Morales,M,1989-12-06,New Meganton,21
125,Michael,Shaffer,O,1993-12-17,Melissaville,27
126,Joseph,Montgomery,F,1971-03-19,East Jesusville,42
127,Carol,Reilly,M,1993-09-28,New Kirsten,42
128,Brandon,Lowery,F,1995-12-24,Waltonland,32
129,Wayne,Graham,M,1985-02-21,Jessicaville,20
130,Anthony,Atkins,M,1982-10-04,New Joyce,2
131,Laura,Hall,M,1980-05-13,Port Alexanderberg,13
132,Adam,Cochran,M,1965-08-11,Port Ian,37
133,Casey,Thomas,F,1996-12-11,East Williamberg,37
134,Miguel,Robinson,M,1987-09-02,Conleyborough,1
